"Admin Panel";"پنل مدیریت"
"Manage Pages";"مدیریت صفحه‌ها"
"Manage Menus";"مدیریت منوها"
"Manage Users";"مدیریت کاربرها"
"Manage Bugs";"مدیریت خطاها"
"Build Search Index";"ساخت لیست جستجو"
"Site Configuration";"تنظیمات سایت"
"To set your site configuration this form.";"برای تغییر تنظیمات کلی سایت از فرم زیر استفاده کنید."
"Head Title:";"عنوان سایت بالای سایت"
"Website Title:";"عنوان پایین سایت"
"Website Description:";"توضیحات سایت:"
"Select skin:";"پوسته سایت:"
"Admin email address:";"آدرس ایمیل مدیر:"
"Contact email address:";"آدرس ایمیل مدیر برای دریافت ایمیل کاربران:"
"SMTP Transport Username:";"نام کاربری برای SMTP:"
"SMTP Transport Protocol:";"شماره پروتوکل برای SMTP:"
"SMTP Transport port:";"شماره پورت برای SMTP:"
"SMTP Transport Password:";"پسورد برای SMTP:"
"Save Configuration";"ذخیره تغییرات"
"Site Information";"اطلاعات سایت"
"Contact Information";"تنظیمات ارتباط"
"SMTP Information";"تنظیمات SMTP"
