"Thanks for submiting your bug report!";"ممنون بابت گزارش خطا!"
"We will review it shortly ...";"ما به سرعت به این خطا رسیدگی خواهیم کرد ..."
"Submit a bug report";"ثبت گزارش خطا"
"Site is in beta version, so we will be happy if you report us the bugs. <br />To submit a new bug report please fill out this form completely:";"سایت در حال حاضر در نسخه آزمایشی میباشد. بنابریان اگر خطایی در آن مشاهده کردید با پر کردن فرم زیر ما را آگاه کنید. با تشکر."
"To update this bug report make any changes you need to in this form, and the click update.";"برای به روز رسانی گزارش خطا تغییرات لازم را در فرم زیر انجام دهید و بر روی دکمه ذخیره کلیک کنید."
"Edit a bug report";"به روز رسانی گزارش خطا"
"Previous";"قبلی"
"Next";"بعدی"
"If you find a bug please";"اگر خطایی پیدا کردید لطفا برای گزارش آن"
"If you are an admin and want to mange bugs";"اگر شما مدیر سایت هستید و میخواهید خطاها را مدیریت کنید"
"Current Bugs";"خطاهای موجود"
"ID";"شماره"
"Date";"تاریخ"
"Priority";"اهمیت"
"Status";"وضعیت"
"URL";"نشانی"
"Submitter";"گزارش دهنده"
"Description";"توضحیات"
"Thanks for posting bug report!";"ممنون برای ارسال گزارش خطا!"
"go back for furture changes.";"در آینده که به سایت برگردید این خطا رفع شده است."
"Enter your name:";"نام خود را وارد کنید:"
"Your email address:";"آدرس ایمیل:"
"Date the issue occurred (mm-dd-yyyy):";"زمان وقوع (ماه-روز-سال):"
"Issue URL:";"آدرس وقوع:"
"Issue description:";"توضیح:"
"Issue priority:";"اهمیت:"
"Current status:";"وضعیت:"
"Verification:";"کد امنیتی:"
"Sort Records:";"ترتیب چیدمان:"
"Filter Field:";"فیلتر چیدمان:"
"Filter Value:";"فیلتر مقدارها:"
"Update List";"به روز رسانی"
