"Features";"Features"
"MVC Architecture";"MVC Architecture"
"EAV Data Model";"EAV Data Model"
"Responsive Design";"Responsive Design"
"GPL License";"GPL License"
"Docs";"Docs"
"How to install MeloBit";"How to install MeloBit"
"How to create skins";"How to create skins"
"How to create modules";"How to create modules"
"Contact";"Contact"
"About";"About"
"Languages";"Languages"
"English";"English"
"Persian";"Persian"
"Sing in";"Sing in"
"Hi,";"Hi,"
"administrator";"administrator"
"Profile";"Profile"
"Setting";"Setting"
"Tasks";"Tasks"
"Sign out";"Sign out"
"Admin";"Admin"
"SMS Panel";"SMS Panel"
