"Features";"ویژگی‌ها"
"MVC Architecture";"معماری ام-وی-سی"
"EAV Data Model";"مدل داده‌ی ای-اِی-وی"
"Responsive Design";"طراحی پاسخگو"
"GPL License";"لایسنس متن باز"
"Docs";"توضیحات"
"How to install MeloBit";"چگونه ملوبیت را نصب کنیم"
"How to create skins";"چگونه برای ملوبیت پوسته درست کنیم"
"How to create modules";"چگونه برای ملوبیت ماژول درست کنیم"
"Contact";"ارتباط"
"About";"درباره ما"
"Languages";"زبان‌ها"
"English";"انگلیسی"
"Persian";"پارسی"
"Sing in";"ورود"
"Hi,";"سلام،"
"administrator";"مدیر"
"Profile";"حساب کاربری"
"Setting";"تنظیمات"
"Tasks";"وظایف"
"Sign out";"خروج"
"Admin";"مدیریت سایت"
"SMS Panel";"پنل پیامک"
