"Current Pages";"صفحه‌های موجود"
"Links";"لینک‌ها"
"Name";"نام"
"You do not have any pages yet.";"شما هنوز هیچ صفحه‌ای ندارید."
"Are you sure to delete?";"آیا مطمئن هستید که میخواهید این رکورد را پاک کنید؟"
"Update";"به روز رسانی"
"Delete";"حذف"
"Create a new page";"ایجاد یک صفحه جدید"
"To create a new page complete this form and click submit.";"برای ایجاد یک صفحه جدید این فرم را کامل کنید و بر روی دکمه ذخیره کلیک کنید."
"Page Name:";"لینک صفحه:"
"Headline:";"عنوان صفحه:"
"Image:";"تصویر:"
"Description:";"توضیحات صفحه:"
"Content:";"متن صفحه:"
"Submit";"ذخیره"
"Preview Image:";"پیش نمایش تصویر:"
"Update page";"به روز رسانی صفحه"
"Last Content";"آخرین صفحه‌ها"
"More Pages";"صفحه‌های دیگر"
"Headline (en):";"عنوان صفحه (انگلیسی):"
"Headline (fa):";"عنوان صفحه (فارسی):"
"Description (en):";"توضیحات (انگلیسی):"
"Description (fa):";"توضیحات (فارسی):"
"Content (en):";"متن (انگلیسی):"
"Content (fa):";"متن (فارسی):"
