"Create a new menu";"Create a new manu"
"To create a new menu complete this form and click submit.";"To create a new menu complete this form and click submit."
"Update Menu";"Update Menu"
"To update this menu complete this form and click submit.";"To update this menu complete this form and click submit."
"Current Menus";"Current Menus"
"Links";"Links"
"Menu Name";"Menu Name"
"Page Name";"Page Name"
"Link";"Link"
"Access";"Access"
"You do not have any menus yet.";"You do not have any menus yet."
"Move down";"Move down"
"Move up";"Move up"
"Manage Menu Items";"Manage Menu Items"
"Name:";"Name:"
"Select a page to link to:";"Select a page to link to:"
"or specify a link:";"or specify a link:"
"Select menu access level:";"Select menu access level:"
