"Create a new menu";"ایجاد یک منو جدید"
"To create a new menu complete this form and click submit.";"برای ایجاد یک منوی جدید لیست زیر را کامل کرده و بر روی دکمه ذخیره کلیک کنید."
"Update Menu";"به روز رسانی منو"
"To update this menu complete this form and click submit.";"برای به روز رسانی منو فرم زیر را کامل کرده و بر روی دکمه ذخیره کلیک کنید."
"Current Menus";"منوهای موجود"
"Links";"لینک‌ها"
"Menu Name";"نام منو"
"Page Name";"نام صفحه"
"Link";"لینک"
"Access";"دسترسی"
"You do not have any menus yet.";"شما هنوز هیچ منویی ندارید."
"Move down";"حرکت به پایین"
"Move up";"حرکت به بالا"
"Manage Menu Items";"مدیریت زیرمنوها"
"Name:";"نام:"
"Select a page to link to:";"انتخاب یک صفحه‌ داخلی:"
"or specify a link:";"یا انتخاب یه لینک خارجی:"
"Select menu access level:";"انتخاب سطح دسترسی:"
