"Manage Menu Items";"Manage Menu Items"
"Current Menu:";"Current Menu:"
"Label:";"Label:"
"Label";"Label"
"Page";"Page"
"This menu does not have any items yet.";"This menu does not have any items yet."
"Add a new item";"Add a new item"
"Update Menu Item";"Update Menu Item"
"To update this menu item fill out the form below and click submit.";"To update this menu item fill out the form below and click submit."
"Add Menu Item";"Add Menu Item"
"To update this menu item fill out the form below and click submit.";"To update this menu item fill out the form below and click submit."
"To add a menu item fill out the form below and click submit.";"To add a menu item fill out the form below and click submit."

