"Manage Menu Items";"مدیریت زیرمنوها"
"Current Menu:";"منو مادر:"
"Label:";"برچسب:"
"Label";"برچسب"
"Page";"صفحه"
"This menu does not have any items yet.";"این منو هنوز هیچ زیر منویی ندارد."
"Add a new item";"اضافه کردن یک زیر منو جدید"
"Update Menu Item";"به روز رسانی زیر منو"
"To update this menu item fill out the form below and click submit.";"برای به روز رسانی این زیر منو فرم زیر را پر کنید و بر روی دکمه ذخیره کلیک کنید."
"Add Menu Item";"اضافه کردن زیرمنو"
"To add a menu item fill out the form below and click submit.";"برای اضافه کردن یک زیر منوی جدید فرم زیر را پر کنید و بر روی دکمه ذخیره کلیک کنید."
